# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
1.9783e-08                  	1.46190357554273965909e-09	6.77554682055963631834e-11	5.08364731639206106279e-10	1.80807648442228153171e-08	6.03976419831589914564e-07	2.02181695804158324078e-11
1.99092e-08                 	1.50207984376400613153e-09	6.77190574744684906035e-11	5.60183675555537969538e-10	1.68678364331604233973e-08	6.22625370303723354013e-07	2.08417616012655394409e-11
2.00384e-08                 	1.53346718534235253142e-09	6.11648012224809898187e-11	4.60514575054277374395e-10	1.69209541447665945819e-08	6.37596095342507262742e-07	2.13421110121750173818e-11
2.01717e-08                 	1.58379948429074321894e-09	6.18967802091658947050e-11	4.70532859971499646335e-10	1.73437282776321965561e-08	6.57581154327440802067e-07	2.20103776054131264659e-11
2.0307e-08                  	1.60798913476914435489e-09	3.19009990856543934043e-11	4.06140167431243483168e-10	1.83380539792989010660e-08	6.67447967941863574596e-07	2.23395372095662064049e-11
2.04331e-08                 	1.50478263953700490712e-09	3.05564558216772292617e-11	4.03704853891769552676e-10	1.64253540092224287428e-08	6.22173131019673181417e-07	2.08216507707563076722e-11
2.05548e-08                 	1.45292640060862745581e-09	2.98263015298640081147e-11	3.99361423381912964535e-10	1.75710782412263913125e-08	6.00306924431584481253e-07	2.00886084358819639101e-11
2.06824e-08                 	1.52223364282721121402e-09	2.88323861521442475243e-11	3.90643736760652433357e-10	2.43017024646530414371e-08	6.29798066619854118677e-07	2.10759915897839117605e-11
2.08186e-08                 	1.62233981928449086733e-09	3.00007660816782589972e-11	4.11360622119290842791e-10	2.89997819873002182365e-08	6.71867152452471592532e-07	2.24846634233829063277e-11
2.0955e-08                  	1.62388385270995470218e-09	2.80214336925722099128e-11	3.74071628389732727482e-10	2.17192076753559759246e-08	6.72889838873619121261e-07	2.25182473972398855156e-11
2.10915e-08                 	1.62838278532726120274e-09	2.47901167373695921558e-11	3.38547871944125548425e-10	1.95301715502442509901e-08	6.73883894258071073776e-07	2.25509012615857443793e-11
2.1171e-08                  	9.55978607339284485523e-10	7.06922943214537046033e-11	5.25364466987145467058e-10	1.27230621260605972927e-08	3.92239542625881171315e-07	1.31202783730782451501e-11
2.12492e-08                 	9.40256408437476038114e-10	9.60204619431672539793e-11	7.98487715703386784300e-10	1.21217213563817635751e-08	3.85784889412802940398e-07	1.29047822069087254930e-11
2.13273e-08                 	9.39108941190422616424e-10	9.91415351528530320394e-11	8.10066095487831370630e-10	1.22607836390807951391e-08	3.85319546750352930449e-07	1.28895019026320017134e-11
2.14054e-08                 	9.38992197923024713177e-10	1.58667225313094660817e-10	1.12990279334428833853e-09	1.22891992520897310788e-08	3.85372536277084227013e-07	1.28913930837414159265e-11
2.14883e-08                 	9.95775732745151738041e-10	1.64357709653233425821e-10	1.16602845422301746167e-09	1.26773873328159598899e-08	4.08633996450437632687e-07	1.36699498024635327006e-11
2.15731e-08                 	1.01969949257648470525e-09	1.65596804614582288647e-10	1.16791554037184169469e-09	1.25677063410514760655e-08	4.18648571199718256817e-07	1.40049137911897216310e-11
2.16588e-08                 	1.02936314634295719255e-09	1.65297199012267275011e-10	1.16012359522624931390e-09	1.23786924951046979399e-08	4.22661165340093937366e-07	1.41387977743255883207e-11
2.17447e-08                 	1.03250999617027306882e-09	1.63910316632360120942e-10	1.14451252046891490379e-09	1.23328197861731457925e-08	4.24084754584582603975e-07	1.41857319621273934036e-11
2.18307e-08                 	1.03338292773376068823e-09	1.62493258729712686153e-10	1.12643938616189339548e-09	1.24440484589589005756e-08	4.24452999981359182899e-07	1.41975493049473080953e-11
2.19167e-08                 	1.03198065180572265011e-09	2.09708692816561616677e-10	1.35392114026572838622e-09	1.25244221741231806180e-08	4.24361392556500371605e-07	1.41942817905610321411e-11
2.20027e-08                 	1.03247039223619193372e-09	2.05735621635629083761e-10	1.32474313026219371625e-09	1.23390719756268472706e-08	4.24043660820852130970e-07	1.41834509392157247060e-11
2.209e-08                   	1.05034299339654607278e-09	2.06435880470332272436e-10	1.31670234877550358782e-09	1.25466597287578609367e-08	4.30902837774062324365e-07	1.44128218505708925844e-11
